Acquafredda di Maratea	(40.03514995, 15.6718583)
Selvino	(45.7811435, 9.7516751)
Serracapriola	(41.811937, 15.160238)
Sexten	(46.7027185, 12.349573)
Solferino	(45.368581, 10.566679)
Spinazzola	(40.96523335, 16.1142848249)
Spoleto	(42.7355124, 12.7363357)
Squinzano	(40.436528, 18.04182)
St. Gertraud	(46.4897587, 10.8709079)
St. Marcel	(45.7319376, 7.4483916)
St. Nicolas	(45.7160778, 7.167982)
St.-Rhémy-en-Bosses	(45.8237439, 7.1821889)
Stigliano	(40.4012383, 16.2315939)
Stolvizza/Solbica	(46.3614343, 13.3541072)
Stènico	(46.0517279, 10.8544911)
Sëlva de Gherdëina	(46.5553992, 11.7380147)
Tagliacozzo	(42.069327, 13.254692)
Tarvis/Tarvisio	(46.5052624, 13.5783734)
Tarzo (Arfanta)	(45.9620365, 12.2032891)
Taufers	(46.9110202, 11.9486563)
Tempio Pausania	(40.8973821, 9.1035159)
Teolo	(45.3486861, 11.6718022)
Termoli	(41.9983273, 14.9939366)
Tischlbong/Timau	(46.5828996, 13.0039234)
Todi	(42.7823253, 12.4060462)
Tonezza del Cimone	(45.8564786, 11.3464778)
Torella	(44.3767273, 10.7238894)
Torino	(45.0709201, 7.685972)
Toro	(41.572428, 14.764932)
Tramonti di Sotto	(46.2849303, 12.7956464)
Trasacco	(41.956927, 13.5345)
Travesio	(46.1965361, 12.8709942)
Trecchina	(40.026604, 15.774674)
Trento	(46.0664228, 11.1257601)
Trevi	(42.8774972, 12.7474547)
Tricesimo	(46.1605618, 13.2125359)
Trieste	(45.6500335, 13.7706559)
Uta	(39.2909789, 8.9542602)
Valtournenche	(45.911551, 7.61925471185)
Vas	(45.9387396, 11.936408)
Venezia	(45.4371908, 12.3345899)
Verona	(45.4384958, 10.9924122)
Viarago	(46.0803612, 11.2639848)
Vicenza	(45.5488306, 11.5478825)
Vich	(46.1535035, 12.3100361)
Villa Canale	(41.8002, 14.4091)
Villa Estense	(45.1721082, 11.6669789)
Villacidro	(39.4569667, 8.7391797747)
Villafalletto	(44.543734, 7.540129)
Villalba	(37.655046, 13.84286)
Vinci	(43.7878375, 10.9274708)
Vita	(37.8709717, 12.8237435)
Vittoria	(36.9514957, 14.5304867)
Volano	(45.9171787, 11.0608033)
Volvera	(44.9564642, 7.5110517)
Zahre/Sauris	(46.46698225, 12.7114927091)
Zoagli	(44.3366505, 9.2709661)
