Piemonte	Guardate: questo mio figlio era perduto, e adesso è stato trovato di nuovo.	Desana	P0836911.ogg
Trentino-Alto Adige	Guardate: questo mio figlio era perduto, e adesso è stato trovato di nuovo.	Peio	62736911.ogg
Abruzzo	Non occorre che mi diate altro. Basta ch'io non muoia! ...	Fara San Martino	A0235811.ogg
Basilicata	il pane è cotto	Acquafredda di Maratea	B0607411.ogg
Toscana	dammi un altro pezzo	Firenze	90200911.ogg
Trentino-Alto Adige	ho letto questo libro	Sankt Pauls	63215411.ogg
Piemonte	Non mangiate troppa frutta!	Gavi	P1734611.ogg
Lombardia	Quando si diventa vecchi si dorme poco.	Gromo	L1333611.ogg
Lombardia	un pezzo di pane	Cremona	L0431011.ogg
Emilia-Romagna	una bella casa	Comacchio	E0202211.ogg
Basilicata	quest'è il nostro cane	Ripacandida	B1218811.ogg
Veneto	l'anno ha 12 mesi	Rèba	V0117311.ogg
Umbria	vuole essere sempre il primo	Casa del Diavolo	50822211.ogg
Piemonte	Non trovo la chiave; dove l'hai messa?	Premia	P0334711.ogg
Piemonte	che belle case!	Ornavasso	P0102811.ogg
Friuli Venezia-Giulia	È impossibile che io abbia detto questo.	Mariano del Friuli	F1734211.ogg
Veneto	In una lontana città visse allegramente, ubriacandosi assieme ad alcuni amici e ballando con delle donnacce.	Padola	V0435311.ogg
Friuli Venezia-Giulia	il maschio e la femmina	Fossalon	F2111811.ogg
Abruzzo	le case sono belle	Scanno	A0102711.ogg
Molise	Guardate: questo mio figlio era perduto, e adesso è stato trovato di nuovo.	Acquaviva Collecroce	81236911.ogg
Trentino-Alto Adige	Ma quand'egli vedeva un porco grasso che mangiava ghiande [patate], diceva tra sè: "Povero me! S'io fossi restato a casa, quanto meglio starei. Com'era bello da mio padre! Adesso invece sto malissimo."	Kurtatsch	61136111.ogg
Lombardia	No, babbo mio, non baciatemi! Sono stato troppo cattivo. I miei peccati son troppo grandi; non son più degno di essere vostro figlio: sarò uno dei vostri servi.	Erbanno	L0236711.ogg
Veneto	non dormo mai prima di mezzanotte	Istrana	V2717511.ogg
Veneto	E il poveraccio condusse al pascolo il bestiame del suo padrone, tre, cinque, dieci, venti, tante volte.	Vas	V2236011.ogg
Sardegna	il santo del paese si chiama…	Nuoro	20523411.ogg
Sardegna	fa bel tempo	Orune	21925911.ogg
Friuli Venezia-Giulia	che bei cani!	Forni Avoltri (Collina)	F0302511.ogg
Valle d'Aosta	sono andato a pesca/sono andato a pescare	St. Marcel	40621311.ogg
Liguria	non ne posso più	Airole	30237211.ogg
Trentino-Alto Adige	Ma il padrone chiamò sei servi e disse loro: "Portate qua il miglior vestito ch'io abbia, e metteteglielo indosso. Poi mettetegli un anello nel dito e le scarpe ai piedi. Voi altri laggiù attingete acqua, accendete il fuoco e ammazzate il più bel vitello, perché voglio che tutti facciano festa."	Trento	62636811.ogg
Friuli Venezia-Giulia	non dormo mai prima di mezzanotte	Muggia	F1517511.ogg
Friuli Venezia-Giulia	spegnere la fiamma	Zahre/Sauris	F0512111.ogg
Liguria	Così in poche settimane furono spesi tutti i denari; ed egli restò senza niente.	Sassello	30635411.ogg
Molise	vuole essere sempre il primo	Morrone del Sannio	80422211.ogg
Veneto	un pezzo di pane	Tonezza del Cimone	V2331011.ogg
Friuli Venezia-Giulia	Tosto che il babbo lo vide venire avanti, adagio adagio, rasente la siepe del cortile, con gli occhi bassi, gridò dalla gioia, gli corse incontro e lo baciò sulla fronte, sulle guance, sulla bocca.	Aviano	F2336611.ogg
Molise	Se l'avessi saputo sarei venuto.	Campobasso	80333411.ogg
Piemonte	i prati sono verdi/i campi sono verdi	Ceppo Morelli	P0228811.ogg
Trentino-Alto Adige	comincia a nevicare	Roncone	62818611.ogg
Lombardia	Ne prendo uno, non due!	Lanzada	L1826911.ogg
Trentino-Alto Adige	E poi si volse verso il figlio. "Andiamo", disse ed entrò subito in casa col giovanotto, il quale teneva con tutt'e due le mani le sinistra del padre.	Viarago	62037011.ogg
Umbria	Ho visto un uomo, non due!	Norcia	50627011.ogg
Valle d'Aosta	le case sono belle	Valtournenche	40802711.ogg
Piemonte	Un ramo marcio mi è caduto sul viso; mi ha fatto sanguinare il naso.	Limone	P1934411.ogg
Molise	Si munge due volte al giorno.	Cercemaggiore	80933711.ogg
Liguria	questo cane è il nostro	Calasetta	31418911.ogg
Basilicata	il prato è verde/il campo è verde	Genzano di Lucania	B1128711.ogg
Sardegna	Tutti i giorni andrai nel mio campo e in quel prato a pascolare i miei porci e le mie pecore. Sei contento?	Sassari	20235911.ogg
Veneto	In una lontana città visse allegramente, ubriacandosi assieme ad alcuni amici e ballando con delle donnacce.	Cencenighe	V0935311.ogg
Molise	lui legge il giornale	Montagano	81715311.ogg
Veneto	Pochi giorni dopo il giovanotto prese tutto il suo denaro e se ne andò.	Belluno	V1235211.ogg
Trentino-Alto Adige	questo è il mio cane	Delba	61417811.ogg
Trentino-Alto Adige	E piangi oggi, piangi domani, non poteva più: la fame e i dolori lo facevano dimagrire sempre più.	Palai	61836311.ogg
Molise	io leggo un libro	Torella	81615211.ogg
Veneto	Non occorre che mi diate altro. Basta ch'io non muoia! ...	Villa Estense	V3235811.ogg
Umbria	che belle case!	Pietralunga	51202811.ogg
Trentino-Alto Adige	comincia a nevicare	Graun	60218611.ogg
Friuli Venezia-Giulia	un bel cane	Moggio	F0701911.ogg
Puglia	Lui ha due case.	Serracapriola	70133511.ogg
Lombardia	l'acqua è calda	Dello	L1100211.ogg
Trentino-Alto Adige	Così in poche settimane furono spesi tutti i denari; ed egli restò senza niente.	Pflersch	60935411.ogg
Sicilia	un pezzo di pane	Cesarò	11631011.ogg
Valle d'Aosta	l'acqua è calda	Issime	41000211.ogg
Veneto	la gamba è rotta	Giazza	V1613611.ogg
Lombardia	Vuoi che io me ne vada?	Branzi	L1434111.ogg
Sicilia	i prati sono verdi/i campi sono verdi	Aidone 1	10728811.ogg
Trentino-Alto Adige	questo cane è il nostro	Molveno	63018911.ogg
Friuli Venezia-Giulia	l'uomo ha 32 denti	Grado	F1408111.ogg
Valle d'Aosta	quando fa caldo comincio a sudare	Brusson	40925411.ogg
Abruzzo	lui è stanco	Capestrano	A0810311.ogg
Veneto	E piangi oggi, piangi domani, non poteva più: la fame e i dolori lo facevano dimagrire sempre più.	Crespadoro	V1736311.ogg
Veneto	Che belle arance/ciliege! Ne prendo una.	Sappada	V0327211.ogg
Trentino-Alto Adige	sono andato a pesca/sono andato a pescare	La Ila	60621311.ogg
Friuli Venezia-Giulia	il prato è verde/il campo è verde	Forni di Sotto	F0628711.ogg
Sardegna	il prato è verde/il campo è verde	Uta	21728711.ogg
Abruzzo	E poi si volse verso il figlio. "Andiamo", disse ed entrò subito in casa col giovanotto, il quale teneva con tutt'e due le mani le sinistra del padre.	Avezzano	A0337011.ogg
Sardegna	l'uomo ha tante ossa	Decimoputzu	21832711.ogg
Puglia	Non occorre che mi diate altro. Basta ch'io non muoia! ...	Chieuti	70235811.ogg
Veneto	Finalmente andò da un contadino e gli domandò: "Avete bisogno di un servo?"	Mezzaselva di Roana	V1435611.ogg
Umbria	il membro virile del bambino	Nocera Umbra	51330711.ogg
Veneto	quando fa caldo comincio a sudare	Vicenza	V2425411.ogg
Friuli Venezia-Giulia	lui non sa leggere	Ronchis	F2415111.ogg
Piemonte	la falce serve a tagliare il fieno/il grano	Volvera	P1110711.ogg
Veneto	E il poveraccio condusse al pascolo il bestiame del suo padrone, tre, cinque, dieci, venti, tante volte.	Casan	V1036011.ogg
Sardegna	la falce serve a tagliare il fieno/il grano	Fonni	20710711.ogg
Basilicata	lui non sa leggere	Castelmezzano	B0815111.ogg
Trentino-Alto Adige	la pesca è un frutto	Sëlva de Gherdëina	60521111.ogg
Abruzzo	la vacca ha due …	Sassa	A0907111.ogg
Liguria	la mano ha 5 dita	Noli	30509311.ogg
Veneto	un bel cane	Romano d'Ezzelino	V2101911.ogg
Trentino-Alto Adige	Dopo aver camminato parecchi giorni e parecchie notti, arrivò scalzo e lacero nel villaggio, dove abitavano i suoi buoni genitori.	San Martin de Tor	61336511.ogg
Valle d'Aosta	Quando sarò vecchio mi comprerò una casa sul mare.	Courmayeur	40134011.ogg
Sicilia	E tutto il giorno si mangiò, si bevette molto vino e si cantarono belle canzoni.	Malfa	11537111.ogg
Liguria	non dormo mai prima di mezzanotte	Calizzano	30417511.ogg
Friuli Venezia-Giulia	E per non morire, mangiava erba e radici; e piangeva: "Almeno potessi ritornare dai miei!"	Erto	F1136211.ogg
Liguria	Che belle arance/ciliege! Ne prendo una.	Castelnuovo Magra	31327211.ogg
Umbria	Un giorno il più giovane dei due fratelli andò da suo padre e gli disse: "Babbo, voglio avere tutto quello che mi tocca. Datemi quello che è mio."	Trevi	50535011.ogg
Sicilia	la pesca è un frutto	Vittoria	11321111.ogg
Puglia	Un anno fa mio nonno, che ieri ha compiuto ottant'anni, raccontò a me e a mia sorella questa storia:	Spinazzola	70834811.ogg
Basilicata	il membro virile del bambino	San Paolo Albanese	B0430711.ogg
Sicilia	Si munge due volte al giorno.	Palermo	10233711.ogg
Sardegna	Un giorno il più giovane dei due fratelli andò da suo padre e gli disse: "Babbo, voglio avere tutto quello che mi tocca. Datemi quello che è mio."	Ploaghe	20335011.ogg
Friuli Venezia-Giulia	Dopo aver camminato parecchi giorni e parecchie notti, arrivò scalzo e lacero nel villaggio, dove abitavano i suoi buoni genitori.	Ruda	F1336511.ogg
Friuli Venezia-Giulia	Che belle arance/ciliege! Ne prendo una.	Trieste	F1627211.ogg
Molise	i prati sono verdi/i campi sono verdi	Lupara	81528811.ogg
Umbria	il cane è bello	Città di Castello	51401811.ogg
Piemonte	dammi un altro pezzo	Rochemolles	P2200911.ogg
Friuli Venezia-Giulia	Un giorno il più giovane dei due fratelli andò da suo padre e gli disse: "Babbo, voglio avere tutto quello che mi tocca. Datemi quello che è mio."	Mussons	F2835011.ogg
Lombardia	il pane è cotto	Bozzolo	L1007411.ogg
Abruzzo	Se l'avessi saputo sarei venuto.	Trasacco	A1133411.ogg
Veneto	ho aspettato tutto il giorno	Fratta Polesine	V3126511.ogg
Abruzzo	quest'è il nostro cane	Castelli	A0618811.ogg
Trentino-Alto Adige	Tutti i giorni andrai nel mio campo e in quel prato a pascolare i miei porci e le mie pecore. Sei contento?	Pfelders	60435911.ogg
Umbria	quando fa caldo comincio a sudare	Gubbio	51025411.ogg
Liguria	spegnere la fiamma	Rovegno	30812111.ogg
Friuli Venezia-Giulia	l'uomo ha tante ossa	Pieris	F2932711.ogg
Veneto	In una lontana città visse allegramente, ubriacandosi assieme ad alcuni amici e ballando con delle donnacce.	Raldon	V2835311.ogg
Sicilia	Ne prendo uno, non due!	Vita	10126911.ogg
Umbria	il maschio e la femmina	Loreto	51111811.ogg
Umbria	il pane è cotto	Amelia	50307411.ogg
Veneto	il cane è bello	Lovadina	V2501811.ogg
Veneto	E poi si volse verso il figlio. "Andiamo", disse ed entrò subito in casa col giovanotto, il quale teneva con tutt'e due le mani le sinistra del padre.	Montebello	V1937011.ogg
Friuli Venezia-Giulia	ho aspettato tutto il giorno	Cravero/Kravar	F2626511.ogg
Emilia-Romagna	adesso devi andare a destra	Cesenatico	E0108311.ogg
Piemonte	sono andato a pesca/sono andato a pescare	Asti	P0921311.ogg
Piemonte	l'anno ha 12 mesi	Coazze	P1417311.ogg
Valle d'Aosta	ho letto questo libro	Cogne	40515411.ogg
Friuli Venezia-Giulia	Se l'avessi saputo sarei venuto.	Stolvizza/Solbica	F1233411.ogg
Sicilia	questo è il mio cane	Piana degli Albanesi	10317811.ogg
Trentino-Alto Adige	in maggio fa già molto caldo	Canal San Bovo	61716311.ogg
Basilicata	che belle case!	Maratea	B1302811.ogg
Sicilia	la pesca è un frutto	Bronte	11021111.ogg
Umbria	in maggio fa già molto caldo	Panicale	50916311.ogg
Piemonte	i cani sono belli	Borgomanero	P2602411.ogg
Piemonte	la mano ha 5 dita	Pomatt/Formazza	P0409311.ogg
Lombardia	adesso devi andare a destra	Laghetto (Colico)	L1608311.ogg
Veneto	Un anno fa mio nonno, che ieri ha compiuto ottant'anni, raccontò a me e a mia sorella questa storia:	Cortina d'Ampezzo/Anpez	V0234811.ogg
Lombardia	Un ramo marcio mi è caduto sul viso; mi ha fatto sanguinare il naso.	Campodolcino	L1734411.ogg
Sicilia	ho aspettato tutto il giorno	San Fratello	10826511.ogg
Liguria	Ho sete, devo bere qualcosa.	La Spezia	31233811.ogg
Toscana	Non mangiare questa mela, è marcia!	Vinci	90434511.ogg
Veneto	io leggo un libro	Tarzo (Arfanta)	V1115211.ogg
Trentino-Alto Adige	Un anno fa mio nonno, che ieri ha compiuto ottant'anni, raccontò a me e a mia sorella questa storia:	Stènico	62934811.ogg
Liguria	il tempo passa	Genova	30725811.ogg
Piemonte	l'uomo ha tante ossa	Isola Sant'Antonio	P1632711.ogg
Molise	Vuoi che io me ne vada?	Villa Canale	81434111.ogg
Veneto	i cani sono belli	Gambarare	V3402411.ogg
Trentino-Alto Adige	Finalmente andò da un contadino e gli domandò: "Avete bisogno di un servo?"	Kastelruth	61235611.ogg
Lombardia	Tosto che il babbo lo vide venire avanti, adagio adagio, rasente la siepe del cortile, con gli occhi bassi, gridò dalla gioia, gli corse incontro e lo baciò sulla fronte, sulle guance, sulla bocca.	Canzo	L1536611.ogg
Lombardia	Che cosa doveva fare? Come sarebbe vissuto? Dove avrebbe trovato un pezzo di pane?	Solferino	L0935511.ogg
Veneto	È impossibile che io abbia detto questo.	Verona	V0834211.ogg
Puglia	lui è stanco	Corigliano d'Otranto	70310311.ogg
Molise	Quando sarò vecchio mi comprerò una casa sul mare.	Larino	81334011.ogg
Basilicata	comincia a nevicare	Potenza	B1018611.ogg
Veneto	Così in poche settimane furono spesi tutti i denari; ed egli restò senza niente.	Auronzo di Cadore	V0635411.ogg
Piemonte	non ne posso più	Pontebernardo	P2037211.ogg
Calabria	lui non sa leggere	Saracena	K0315111.ogg
Valle d'Aosta	Un ramo marcio mi è caduto sul viso; mi ha fatto sanguinare il naso.	St.-Rhémy-en-Bosses	40434411.ogg
Sardegna	Ho sete, devo bere qualcosa.	Tempio Pausania	20133811.ogg
Sicilia	Lavoreremmo di più, se fossimo pagati meglio.	Giarratana	11234311.ogg
Lombardia	Il vecchio, che voleva molto bene (forse anche troppo!) ai suoi figlioli, fece ciò che quello chiedeva a lui. 	Limone sul Garda	L0735111.ogg
Veneto	Si munge due volte al giorno.	San Stino di Livenza	V1333711.ogg
Basilicata	Ho sete, devo bere qualcosa.	Rotondella	B1433811.ogg
Lombardia	fa bel tempo	Isolaccia	L1925911.ogg
Piemonte	Lavoreremmo di più, se fossimo pagati meglio.	Ronco Canavese	P1234311.ogg
Sicilia	la mano ha 5 dita	San Biagio Platani	10409311.ogg
Molise	non ne posso più	Toro	80537211.ogg
Sardegna	l'albero perde le foglie	Villacidro	21212711.ogg
Lombardia	È impossibile che io abbia detto questo.	Bergamo	L0334211.ogg
Emilia-Romagna	l'uomo ha 32 denti	Meldola	E0408111.ogg
Veneto	questo cane è il mio	Cavarzere	V3317911.ogg
Puglia	E tutto il giorno si mangiò, si bevette molto vino e si cantarono belle canzoni.	San Severo	70537111.ogg
Sicilia	il cane è bello	Patti	10901811.ogg
Sicilia	Ho visto un uomo, non due!	Aidone 2	11427011.ogg
Veneto	Ma quand'egli vedeva un porco grasso che mangiava ghiande [patate], diceva tra sè: "Povero me! S'io fossi restato a casa, quanto meglio starei. Com'era bello da mio padre! Adesso invece sto malissimo."	Campo San Martino	V2636111.ogg
Molise	la casa è bella	San Martino in Pensilis	80702111.ogg
Veneto	lui è stanco	Cerea	V3010311.ogg
Sardegna	la gamba è rotta	Arzana	21613611.ogg
Piemonte	fa bel tempo	Cortemilia	P1825911.ogg
Friuli Venezia-Giulia	la vacca ha due …	Tramonti di Sotto	F0207111.ogg
Basilicata	Ma il padrone chiamò sei servi e disse loro: "Portate qua il miglior vestito ch'io abbia, e metteteglielo indosso. Poi mettetegli un anello nel dito e le scarpe ai piedi. Voi altri laggiù attingete acqua, accendete il fuoco e ammazzate il più bel vitello, perché voglio che tutti facciano festa."	Matera	B0136811.ogg
Friuli Venezia-Giulia	Dopo aver camminato parecchi giorni e parecchie notti, arrivò scalzo e lacero nel villaggio, dove abitavano i suoi buoni genitori.	Sant'Odorico	F2236511.ogg
Trentino-Alto Adige	E il poveraccio condusse al pascolo il bestiame del suo padrone, tre, cinque, dieci, venti, tante volte.	Vich	61536011.ogg
Trentino-Alto Adige	Ne prendo uno, non due!	Predazzo	61626911.ogg
Veneto	questo cane è il nostro	Meolo	V2918911.ogg
Trentino-Alto Adige	questo cane è il mio	Proveis	62517911.ogg
Liguria	un bel cane	Borgomaro	30301911.ogg
Trentino-Alto Adige	Ma il padrone chiamò sei servi e disse loro: "Portate qua il miglior vestito ch'io abbia, e metteteglielo indosso. Poi mettetegli un anello nel dito e le scarpe ai piedi. Voi altri laggiù attingete acqua, accendete il fuoco e ammazzate il più bel vitello, perché voglio che tutti facciano festa."	Gossensaß	60836811.ogg
Piemonte	Ma quand'egli vedeva un porco grasso che mangiava ghiande [patate], diceva tra sè: "Povero me! S'io fossi restato a casa, quanto meglio starei. Com'era bello da mio padre! Adesso invece sto malissimo."	Pancalieri	P1536111.ogg
Puglia	Il vecchio, che voleva molto bene (forse anche troppo!) ai suoi figlioli, fece ciò che quello chiedeva a lui. 	Squinzano	70435111.ogg
Sardegna	il membro virile del bambino	Perdasdefogu	21130711.ogg
Lombardia	non sapevo che è morto	Selvino	L0105911.ogg
Liguria	Non mangiare questa mela, è marcia!	Cassana	31134511.ogg
Basilicata	il tempo passa	Stigliano	B0725811.ogg
Toscana	E tutto il giorno si mangiò, si bevette molto vino e si cantarono belle canzoni.	Poggibonsi	90137111.ogg
Liguria	in maggio fa già molto caldo	Olivetta	30116311.ogg
Veneto	io leggo un libro	Pozzale	V0715211.ogg
Friuli Venezia-Giulia	questo cane è il mio	Brischis	F2517911.ogg
Sardegna	spegnere la fiamma	Sant'Antioco	21512111.ogg
Sardegna	C'era una volta in un piccolo villaggio un uomo, il quale aveva due figlioli.	Macomer	20634911.ogg
Friuli Venezia-Giulia	questo è il mio cane	Caneva di Tolmezzo	F0117811.ogg
Molise	Ho visto un uomo, non due!	Miranda	81127011.ogg
Basilicata	l'anno ha 12 mesi	Pisticci	B0217311.ogg
Trentino-Alto Adige	Domani tornerò a casa.	Taufers	60133911.ogg
Abruzzo	una bella casa	Tagliacozzo	A1002211.ogg
Friuli Venezia-Giulia	l'albero perde le foglie	Tarvis/Tarvisio	F0812711.ogg
Lombardia	E per non morire, mangiava erba e radici; e piangeva: "Almeno potessi ritornare dai miei!"	Lumezzane (San Sebastiano)	L1236211.ogg
Trentino-Alto Adige	Che cosa doveva fare? Come sarebbe vissuto? Dove avrebbe trovato un pezzo di pane?	Volano	62335511.ogg
Sardegna	Che cosa doveva fare? Come sarebbe vissuto? Dove avrebbe trovato un pezzo di pane?	Laconi	21035511.ogg
Puglia	il cuore mi fa male	Alberobello	70607911.ogg
Abruzzo	Non mangiare questa mela, è marcia!	Bellante	A0534511.ogg
Puglia	una bella casa	Faeto	70702211.ogg
Calabria	il maschio e la femmina	Bova Superiore	K0211811.ogg
Campania	Il vecchio, che voleva molto bene (forse anche troppo!) ai suoi figlioli, fece ciò che quello chiedeva a lui. 	Castelvetere in Val Fortore	C0235111.ogg
Liguria	il cuore mi fa male	Levanto	31007911.ogg
Valle d'Aosta	Domani tornerò a casa.	Fénis	40733911.ogg
Umbria	la gamba è rotta	Todi	50713611.ogg
Valle d'Aosta	la casa è bella	Rhêmes-Saint-Georges	40202111.ogg
Piemonte	la casa è bella	Rimella	P0502111.ogg
Molise	l'albero perde le foglie	Campomarino	80212711.ogg
Sardegna	Domani tornerò a casa.	Cagliari	21333911.ogg
Calabria	C'era una volta in un piccolo villaggio un uomo, il quale aveva due figlioli.	Roccella Jonica	K0134911.ogg
